Feature,Estimate,Std Error,t-stat,P-Value
Intercept,60302.356877500555,22.582734517874922,0.600824272373628,0.5479671113589286
Feature_1,13.568255034909013,94.91084451005122,74.02690598871104,0.0
Feature_2,7025.956163854732,33766.6257168086,0.636820140556686,0.5242527914417083
Feature_3,21503.26733510306,33770.85616662621,0.8718779277531754,0.38329046421420276
Feature_4,29444.064093008605,33772.08916742725,0.8527803532789343,0.39379623322763324
Feature_5,28800.17413116628,33794.18766146619,-0.1532709530100821,0.8781868943787656
Feature_6,-5179.66734907448,33804.62251478286,0.2645522245952216,0.7913584624380872
Feature_7,8943.08808788752,33806.53760024755,-0.7974170797056189,0.42522285231725343
Feature_8,-26957.910488147605,33810.50943774986,1.9063434086090694,0.05662685423851621
Feature_9,64454.44180836918,33831.34656110372,0.8766869332252509,0.38067228827691
Feature_10,29659.499463534656,33977.15693474209,-0.28105283940538206,0.778674174865603
Feature_11,-9549.376431431532,33968.708411133375,-0.17675648862983764,0.8597023164304205
Feature_12,-6004.189622042767,34081.579239051534,1.291122205099895,0.19668338859913348
Feature_13,44003.483740411015,34101.43929091079,-0.7474046942089345,0.45483231589353323
Feature_14,-25487.575805307726,34123.28263504746,0.16113657558053895,0.8719882419984069
Feature_15,5498.508911378417,34220.24636922838,0.9737417713996678,0.3302021987583137
Feature_16,33321.68331730549,34406.42922380271,-0.5802065573825824,0.5617850049961381
Feature_17,-19962.83585177005,34461.64987443952,-0.5550435659164021,0.5788740477896877
Feature_18,-19127.717033671444,35142.295741621885,1.5404657904666972,0.12347026706884434
Feature_19,54135.504388432004,37749.2818545434,0.7321497190227884,0.4640898858262261
Feature_20,27638.126103115992,36990.61834378443,-0.9017962414599469,0.36718118716876114
Feature_21,-33358.00059170416,37763.451265499956,-0.14648907473317027,0.8835374988579106
Feature_22,-5531.933034614257,38991.95135889874,-1.288585716144251,0.19756420962864318
Feature_23,-50244.47156566833,38986.73477566589,0.06102990249511863,0.9513362971020234
Feature_24,2379.35662196194,47752.2722816365,-0.7280621638848456,0.4665881472075206
Feature_25,-34766.6226877866,33769.247626143515,1.7857181049783177,0.07416732700227024
